id,name,categories,prices
AWImaqdkIwln0LfXkAw8,TiVo - BOLT VOX 1TB DVR and Streaming Player - Black,"Electronics,Streaming Media Players,Television & Video,TV & Home Theater,All Streaming Media Players",299.98
AWImYplsIwln0LfXkAqt,TP-Link Archer T9E AC1900 Wireless WiFi PCIe network Adapter Card for PC,"Computers,Computers & Accessories,Networking,Wireless Adapters Cards,Wireless Networking,Electronics,Computer Cards & Components,USB Network Adapters,Internal Network Cards,Computers & Tablets,Networking Products,Interface / Add-On Cards,Network Adapters",67.15
AWImYXj0uC1rwyj_oyJi,Next-Generation ARRIS SURFboard SB8200 DOCSIS 3.1 Cable Modem - Retail Packaging- White,"Wi-Fi & Networking,Computers/Tablets & Networking,Computers & Accessories,Home Networking & Connectivity,Electronics,Computers & Tablets,Modems,Networking Products",174
AWIm6-ZpIwln0LfXkBQX,X900F-Series 55-Class HDR UHD Smart LED TV,"Electronics,Televisions,TVs Entertainment,TV & Home Theater,TVs by Brand,All Flat-Panel TVs,LED & LCD TVs,TVs,TV & Video,Smart TVs by Brand,Television & Video,Sony Smart TVs,Sony TVs",1498
AWIm0C3TYSSHbkXwx3S6,Ultimate Ears MEGABLAST Portable Wi-Fi/Bluetooth Speaker with hands-free Amazon Alexa voice control (waterproof) - Graphite Black,"Portable Bluetooth Speakers,Bluetooth & Wireless Speakers,Portable Audio & Video,Electronics,Portable Speakers & Docks,Audio,All Bluetooth & Wireless Speakers",299.99
AWIYLqVnYSSHbkXwxw9c,Details About Evga Nvidia Geforce Gtx 1080 Sc Gaming 8gb Gddr5x Pci Express 3.0 Graphics ...,"Computers,Graphics/Video Cards,Computers/Tablets & Networking,Computers & Accessories,Computer Components & Parts,Computer Components,Graphics Cards,GPUs / Video Graphics Cards,Electronics,Computers & Tablets,Graphic Cards,Computer Cards & Components",1179.57
AWHkCHGSYSSHbkXwxLTx,Victrola - Bluetooth Stereo Turntable - Map,"Turntables & Accessories,Electronics,Turntables,Home Audio,All-in-One Turntables,Electrical,Home Electronics,Audio,CD Players & Turntables,Stereo Shelf Systems",59.99
AWH8KlPuuC1rwyj_oPzR,Samsung 860 EVO 500GB 2.5 Inch SATA III Internal SSD (MZ-76E500B/AM),"Computers/Tablets & Networking,Internal Solid State Drives,Drives, Storage & Blank Media,Solid State Drives,Hard Drives (HDD, SSD & NAS),Computers & Accessories,Internal Hard Disk Drives,Computer Accessories & Peripherals,Electronics,Computers & Tablets,Hard Drives & Storage,Data Storage",134.99
AWFbOYQWuC1rwyj_nLCW,SteelSeries Siberia 800 Lag-Free Wireless Gaming Headset with OLED Transmitter and Dolby 7.1 Surround Sound,"Accessories,Headsets & Microphones,Computer Accessories & Peripherals,Computer & Tablet Accessories,Video Games,Headsets,Computers & Tablets,Computer Speakers & Headsets,Computer Headsets,Technology & Services",299.99
AWFbOTMQuC1rwyj_nKwZ,Wacom Wireless Accessory Kit for Bamboo and Intuos Tablets (ACK40401),"See more Wacom Wireless Accessory Kit for Bamboo and In...,Computers,Tablet Cases & Sleeves,Computer Accessories,Computers & Accessories,Computer Accessories & Peripherals,Computer & Tablet Accessories,Other Keyboards & Mice,Electronics,Graphics Tablets,Tablet Accessories,Tablets Handwriting Accessories,Input Devices,Computers/Tablets & Networking,Keyboards, Mice & Pointers,Computer Peripherals,Graphic Tablets,Technology & Services,Mice Pointing devices",36.09
